P	K	Rep	Prod
0	0	1	50.41233
50	0	1	50.20702
100	0	1	63.39322
150	0	1	92.63626
200	0	1	120.7751
0	25	1	60.18913
50	25	1	61.23431
100	25	1	68.12566
150	25	1	108.53335
200	25	1	142.23377
0	50	1	71.08601
50	50	1	69.20905
100	50	1	82.92915
150	50	1	100.52608
200	50	1	143.02608
0	75	1	65.99317
50	75	1	65.55359
100	75	1	87.25679
150	75	1	100.38005
200	75	1	147.00438
0	100	1	62.54543
50	100	1	66.05179
100	100	1	75.45299
150	100	1	100.90047
200	100	1	135.28874
0	0	2	52.2573
50	0	2	54.05421
100	0	2	69.86905
150	0	2	93.24466
200	0	2	119.35331
0	25	2	52.56515
50	25	2	65.73207
100	25	2	74.39522
150	25	2	102.41247
200	25	2	132.29979
0	50	2	66.35945
50	50	2	65.28723
100	50	2	84.26825
150	50	2	110.61707
200	50	2	137.07933
0	75	2	59.61062
50	75	2	68.08308
100	75	2	81.54956
150	75	2	105.50854
200	75	2	135.67492
0	100	2	61.8985
50	100	2	59.4107
100	100	2	80.86468
150	100	2	102.85571
200	100	2	135.87985
0	0	3	45.36323
50	0	3	53.00782
100	0	3	64.80842
150	0	3	85.96386
200	0	3	126.49234
0	25	3	64.90767
50	25	3	55.44524
100	25	3	83.92561
150	25	3	100.17771
200	25	3	132.95215
0	50	3	64.17673
50	50	3	70.6528
100	50	3	87.23942
150	50	3	106.04354
200	50	3	135.99027
0	75	3	64.74606
50	75	3	67.17701
100	75	3	78.78786
150	75	3	106.74121
200	75	3	137.82022
0	100	3	61.55545
50	100	3	60.63813
100	100	3	74.73392
150	100	3	104.7882
200	100	3	133.01816
0	0	4	47.54493
50	0	4	48.02957
100	0	4	64.01991
150	0	4	96.19679
200	0	4	130.85956
0	25	4	51.89746
50	25	4	56.91721
100	25	4	72.66043
150	25	4	97.21846
200	25	4	144.86978
0	50	4	61.09008
50	50	4	63.25875
100	50	4	81.87116
150	50	4	107.85649
200	50	4	138.49708
0	75	4	64.95734
50	75	4	75.59674
100	75	4	79.18183
150	75	4	109.70443
200	75	4	139.87082
0	100	4	57.83007
50	100	4	65.99496
100	100	4	85.0396
150	100	4	103.19526
200	100	4	135.68915
